"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd","Year","Month","Day","WaterYear"
"USGS","07288500",2009-10-28,"14:00",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9","15 7/7","00600",NA,1.2,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-10-28 19:00:00,"UTC",2009,10,28,"2010"
"USGS","07288500",2009-11-17,"12:30",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9","7 4/12","00600",NA,1.2,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-17 18:30:00,"UTC",2009,11,17,"2010"
"USGS","07288500",2009-12-09,"15:20",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"7","9","9","17 8/16","00600",NA,1.4,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-12-09 21:20:00,"UTC",2009,12,9,"2010"
"USGS","07288500",2010-01-05,"13:00",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"5","9","9",NA,"00600",NA,0.72,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-05 19:00:00,"UTC",2010,1,5,"2010"
"USGS","07288500",2010-01-19,"14:00",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,1.7,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-19 20:00:00,"UTC",2010,1,19,"2010"
"USGS","07288500",2010-02-09,"11:00",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"5","9","9","2","00600",NA,0.73,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-09 17:00:00,"UTC",2010,2,9,"2010"
"USGS","07288500",2010-03-02,"12:15",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9","2","00600",NA,1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-02 18:15:00,"UTC",2010,3,2,"2010"
"USGS","07288500",2010-03-22,"13:00",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9","22","00600",NA,1.6,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-22 19:00:00,"UTC",2010,3,22,"2010"
"USGS","07288500",2010-04-13,"13:40",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"4","9","9","22","00600",NA,1.6,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-13 18:40:00,"UTC",2010,4,13,"2010"
"USGS","07288500",2010-05-04,"15:45",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9","22","00600",NA,2.9,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-04 20:45:00,"UTC",2010,5,4,"2010"
"USGS","07288500",2010-05-27,"10:15",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,2.1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-27 15:15:00,"UTC",2010,5,27,"2010"
"USGS","07288500",2010-06-16,"09:30",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,1.5,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-06-16 14:30:00,"UTC",2010,6,16,"2010"
"USGS","07288500",2010-07-14,"10:20",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"4","9","9",NA,"00600",NA,1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-07-14 15:20:00,"UTC",2010,7,14,"2010"
"USGS","07288500",2010-07-28,"09:00",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"8","9","9",NA,"00600",NA,0.68,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-07-28 14:00:00,"UTC",2010,7,28,"2010"
"USGS","07288500",2010-08-18,"10:45",NA,NA,"CDT","K","USGS-WRD","WS","004CE",NA,NA,NA,"9","9","9",NA,"00600","<",0.49,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-18 15:45:00,"UTC",2010,8,18,"2010"
"USGS","07288500",2010-09-08,"08:45",NA,NA,"CDT","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,1.2,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-08 13:45:00,"UTC",2010,9,8,"2010"
"USGS","07288500",2010-09-29,"08:45",NA,NA,"CDT","K","USGS-WRD","WS","004CE",NA,NA,NA,"9","9","9","MDEQ LAB.","00600",NA,1.1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-29 13:45:00,"UTC",2010,9,29,"2010"
"USGS","07288500",2010-10-27,"10:30",NA,NA,"CDT","K","USGS-WRD","WS","004CE",NA,NA,NA,"4","9","9","MDEQ LAB","00600","<",1.3,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-10-27 15:30:00,"UTC",2010,10,27,"2011"
"USGS","07288500",2010-11-15,"11:00",NA,NA,"CST","K","USGS-WRD","WS","004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,4.2,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-11-15 17:00:00,"UTC",2010,11,15,"2011"
"USGS","07288500",2010-12-01,"13:30",NA,NA,"CST","K","USGS-WRD","WS","004CE",NA,NA,NA,"9","9","9",NA,"00600",NA,2.7,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-12-01 19:30:00,"UTC",2010,12,1,"2011"
"USGS","07288500",2011-01-12,"11:15",NA,NA,"CST","K","USGS-WRD","WS","004CE",NA,NA,NA,"4","9","9",NA,"00600",NA,0.97,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-01-12 17:15:00,"UTC",2011,1,12,"2011"
"USGS","07288500",2011-02-02,"11:00",NA,NA,"CST","K","USGS-WRD","WS","2507004CE",NA,NA,NA,"8","9","9",NA,"00600",NA,3.3,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-02-02 17:00:00,"UTC",2011,2,2,"2011"
