"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1987",217,121.640552995392,34,408.894534776467,14,3490
"1988",366,72.2814207650273,30,170.859775989337,16,1750
"1989",365,196.720547945205,72,437.104896932963,20,5080
"1990",365,168.687671232877,51,365.426231617514,24,3560
"1991",365,217.38904109589,53,631.306161153478,22,7000
"1992",366,69.4234972677596,39,158.12690722591,18,2470
"1993",365,101.931506849315,44,222.644614614141,17,2480
"1994",365,132.950684931507,37,352.985621817227,11,3520
"1995",365,156.027397260274,53,460.414951775848,16,5980
"1996",366,98.6912568306011,39,256.413889051841,18,2990
"1997",365,175.586301369863,35,769.559854457112,19,13000
"1998",365,127.731506849315,43,306.30898932965,21,3530
"1999",365,167.523287671233,47,456.689103172163,23,3600
"2000",366,93.8251366120219,32,460.610020795065,17,6190
"2001",365,214.460273972603,48,742.924268606525,17,10100
"2002",365,151.67397260274,38,420.428876407671,17,4280
"2003",365,131.197260273973,46,320.628768415017,23,3090
"2004",366,161.595628415301,53.5,386.875174208934,24,4420
"2005",365,115.147945205479,49,227.048622442823,25,2530
"2006",365,95.7756164383562,33.4,242.207953251115,16.8,2100
"2007",365,89.107397260274,34.4,291.535792998006,18,3470
"2008",366,74.5267759562842,30.1,194.269166030343,19,2570
"2009",365,159.694246575342,40.2,434.450967142925,19.1,3650
"2010",364,172.268131868132,57.05,459.303807372063,22,5290
